Battery_ID,Cycles,Voltage_V,Current_A,Temperature_C,Internal_Resistance_mOhm,Capacity_Ah,SOH
B00001,165,3.43,3.45,29.2,40.2,47.54,95.33
B00002,386,4.19,3.09,30,48.6,46.98,90.41
B00003,303,4.18,3.96,28.8,39.6,46.37,91.79
B00004,1572,4.02,1.46,22.8,92.2,33.49,69.18
B00005,1708,3.3,0.89,27.7,100.9,33.65,66.52
B00006,89,3.59,1.13,25.9,31.6,49.03,99
B00007,1957,3.4,1.27,26,105,30.31,62.06
B00008,1685,3.49,2.28,39,98.8,33.77,63.45
B00009,1770,3.86,0.99,47.1,97.9,33.15,59.99
B00010,366,3.75,4.56,29.1,41.7,46.39,90.2
B00011,1932,3.76,4.57,49.3,110.5,30.2,58.35
B00012,54,4.05,3.91,42.4,29.1,50.36,95.42
B00013,305,3.86,3.34,34.6,45.4,47.59,92.07
B00014,1235,4.15,2.94,46.4,83.1,38.31,71.43
B00015,447,3.26,0.75,23.8,45.7,46.17,92.62
B00016,1244,3.72,4.27,39.3,84.5,36.81,73.24
B00017,1267,4.18,0.66,31.1,79.8,37.28,72.8
B00018,772,3.59,1.02,40.7,59.5,42.55,81.08
B00019,1271,3.66,4.35,28.6,85.5,36.46,74.16
B00020,130,3.29,1.13,25,39.9,49.59,96.63
B00021,1345,3.91,3.75,35.3,82.5,37.53,72.59
B00022,496,4.19,0.88,27.3,52.1,44.89,88.46
B00023,170,3.82,1.66,23.3,40.1,48.19,94.87
B00024,982,3.77,3.43,35.4,68,40.62,80.68
B00025,156,3.93,2.4,23,38,48.22,97.43
B00026,1018,3.49,1.6,34.6,73.6,40.64,78.97
B00027,715,3.44,0.83,45.1,60.3,42.68,83.12
B00028,650,3.78,0.56,36.4,54.7,43.65,86.87
B00029,958,3.62,2.53,25,66.2,40.82,81.73
B00030,540,3.98,4.38,24,56.3,44.85,90.08
B00031,572,3.6,1.32,33.1,55.1,43.65,86.74
B00032,877,3.44,2.02,42.4,64.4,40.92,78.92
B00033,649,3.82,2.08,20.7,54.1,43.8,89.06
B00034,321,3.93,1.19,29,44.9,46.07,94.34
B00035,376,3.68,1.28,42.9,42.6,47.18,88.06
B00036,1455,3.6,2.89,32.5,90.3,35.47,68.92
B00037,796,3.66,0.64,25,65.6,42.84,82.66
B00038,809,3.99,4.22,22.3,60.3,42.51,84.62
B00039,1367,4.17,3.69,21.6,88.3,36.42,73.5
B00040,1727,4.08,2.34,28.1,98.4,32.26,63.31
B00041,760,3.4,4.49,20.9,57.7,42.1,84.57
B00042,1692,3.24,1.25,50,97.7,33.82,62.29
B00043,786,4.18,2.97,29,59.7,42.52,83.27
B00044,1283,3.83,2.55,23,78.8,37.61,74.22
B00045,1453,3.63,4.15,44.5,88.4,35,68.67
B00046,974,4.13,0.76,25.4,66.5,40.09,79.07
B00047,1647,3.59,2.68,25,92.4,34.46,67.08
B00048,657,3.65,1.29,27.3,56.6,44.28,86.08
B00049,494,4.01,2.59,30.4,52.5,44.75,88.76
B00050,654,4.04,0.76,34.2,57.3,42.72,85.72
B00051,805,3.98,1.04,46.5,67.2,42.53,79.61
B00052,462,3.6,1.95,36.9,53.1,45.67,90.21
B00053,846,3.58,1.08,43.6,60.1,41.23,79.67
B00054,607,3.97,0.76,34.4,56.9,44.06,88.25
B00055,753,3.4,4.39,26.3,56.6,41.56,84.77
B00056,984,4.15,4.82,35.4,71.7,40.53,79.78
B00057,1371,3.49,4.17,44.9,86.3,37.19,68.75
B00058,1622,3.25,0.74,24.1,99.4,34.01,67.77
B00059,624,3.54,0.51,21.5,50.7,43.22,89.2
B00060,1979,3.5,1.22,28.8,110.7,29.32,61.63
B00061,467,4.02,1.97,44,46.2,45.33,87.29
B00062,1364,3.72,1.06,49.3,86.8,36.95,68.76
B00063,1668,3.44,2.62,37.7,99.7,34.19,66.02
B00064,86,3.65,1.1,40.1,31.3,50.05,95.19
B00065,1807,3.58,0.8,28.4,104.1,32.63,62.89
B00066,795,3.89,4.19,44.1,60.6,42.43,80.4
B00067,1687,3.88,3.64,47.9,94.2,32.17,62.83
B00068,1189,3.62,2.24,37.6,77.8,38.33,72.77
B00069,55,3.31,4.23,36,28.2,50,98.13
B00070,250,3.75,0.53,40.8,40.9,46.98,92.84
B00071,209,4.05,2.47,26.3,38,47.4,95.99
B00072,878,3.7,2.89,38.4,68.3,40.6,80.95
B00073,1489,3.21,4.28,36.2,90.8,35.57,70.07
B00074,133,3.9,3.58,32.7,34.8,49.6,94.31
B00075,1479,3.45,2.28,37.2,93.2,35.8,70.43
B00076,1216,3.68,3.53,41.8,76.8,38.24,72.65
B00077,1912,4.2,0.55,49.5,103.3,30.69,57.53
B00078,1127,3.25,2.91,22.7,77.4,38.42,75.89
B00079,341,3.27,2.34,24.9,43.5,46.67,92.47
B00080,830,3.57,3.87,46.4,62.2,41.58,81.44
B00081,356,3.45,2.79,24.6,46.2,46.06,92.94
B00082,1272,3.99,4.97,35.2,83.4,37.96,75
B00083,468,3.3,3.62,47.8,50.6,45.64,88.32
B00084,594,3.31,3.09,22.1,53,44.01,89.05
B00085,104,3.33,1.79,41.7,38,49.36,94.27
B00086,812,3.6,1.04,48.7,65.6,41.86,81.8
B00087,598,4.02,2.83,47.3,50.1,43.43,86.57
B00088,635,3.44,0.55,40.2,58.4,44.11,83.58
B00089,699,3.62,3.62,49.2,59.4,42.89,82.01
B00090,183,3.56,1.16,45,35.3,47.56,92.38
B00091,792,3.8,1.84,44.7,60.7,41.74,83.01
B00092,1376,3.56,2.87,33,82.4,37.22,70.62
B00093,1740,3.44,2.16,33.2,100.3,33.24,64.66
B00094,1828,3.83,1.22,26.5,107.4,32.21,61.69
B00095,1502,3.39,1.17,41.5,92.5,34.8,68.79
B00096,1827,3.76,1.87,35.6,101.6,32.06,61.35
B00097,1960,3.84,0.56,27,113.3,31.29,60.17
B00098,772,4.14,3.97,47.4,62,42.2,81.63
B00099,1068,4.07,1.98,42.3,72.7,40.01,77.61
B00100,1519,4,4.29,35.5,88.1,34.28,69.67
B00101,1529,3.49,2.59,47.6,96,35.32,64.33
B00102,303,3.55,1.78,38.5,45.1,46.81,90.54
B00103,1102,3.39,0.75,43.6,71.4,38.71,76.48
B00104,425,3.44,3.56,45.4,49.6,45.2,87.68
B00105,1231,4.14,4.93,48.1,74.4,38.35,69.94
B00106,482,3.51,0.74,48.9,48.8,46.07,87.96
B00107,1758,4.2,3.67,29,99.6,32.84,63.35
B00108,582,3.31,2.62,33.4,53.1,44.67,87.43
B00109,1723,3.62,1.66,33,98.8,31.94,65.2
B00110,628,4.04,0.72,45.7,52.9,44.32,82.85
B00111,1738,4.01,4.18,28.4,99.4,32.74,65.97
B00112,241,3.38,1.88,23.7,37.4,48.09,96.59
B00113,1887,4.1,2.54,47.4,102.5,31.18,58.69
B00114,458,3.53,0.6,24.6,46.9,45.99,92.04
B00115,1172,3.65,1,45.9,72.4,38.94,72.94
B00116,1926,3.45,1.28,45.3,103.2,31.42,57.53
B00117,254,4.02,3.17,42.2,42.2,46.64,93.41
B00118,1436,4.03,3.84,35.9,82.6,35.11,70.32
B00119,371,3.84,2.84,24,46,46.42,94.65
B00120,525,3.96,1.21,36.7,48.8,44.17,87.03
B00121,647,3.45,2.75,48.3,58,43.92,82.5
B00122,1190,3.57,3.47,23.8,79,38.26,76.04
B00123,713,3.58,1.63,20.6,59.8,42.12,86.86
B00124,99,4.15,0.67,35.3,32.5,49.21,94.48
B00125,1397,3.28,0.56,48.5,86.2,36.66,69.04
B00126,1338,4.16,1.87,35.8,83.8,35.8,72.82
B00127,537,4.06,4.27,21,53.1,43.8,89.73
B00128,405,3.24,1.83,24.8,47.2,46.35,93.92
B00129,890,4.16,2.67,27.6,64.2,40.63,79.81
B00130,454,3.61,0.59,39.1,45.6,45.81,89.5
B00131,76,3.81,1.27,33,33.5,48.93,98.51
B00132,1286,3.79,2.97,24.5,85.4,37.54,72.69
B00133,1417,4.19,2.75,20.4,84.3,36.06,72.66
B00134,638,3.41,4.44,35.9,57.4,43.27,85.2
B00135,1901,3.89,2.81,30.2,109.3,31.84,60.57
B00136,521,4.06,3.2,23.6,48.9,44.86,87.91
B00137,301,3.34,4,32.9,46.1,47.95,90.91
B00138,1816,3.97,4.64,44.9,106.3,32.4,59.22
B00139,664,3.24,0.51,47.2,56.3,43.61,83.34
B00140,1100,4.12,1.45,43.4,74.9,38.34,75.28
B00141,662,3.51,1.09,26.1,61.2,44.07,87.33
B00142,1196,3.94,1.48,20,82.3,38.24,77.94
B00143,1989,3.52,4.79,40.5,110.6,30.06,57.9
B00144,671,4,1.82,27.5,56,43.7,87.92
B00145,88,3.39,2.89,44.4,36.6,48.36,95.29
B00146,1874,3.62,2.33,29.7,100.6,30.34,61.76
B00147,1147,3.56,4.81,42.6,80.1,39.41,75.15
B00148,1796,3.99,4.48,45.6,103.5,32.5,59.67
B00149,1972,3.74,2.23,44,110.1,31.17,59.2
B00150,391,4.06,2.04,40.5,44.3,46.14,91.67
B00151,1274,3.87,3.02,34.1,85.9,36.71,74.13
B00152,231,3.87,1.68,41.1,44,48.65,94.32
B00153,919,3.53,3.23,45.3,61.8,41.35,79.67
B00154,1728,4.09,1.92,26.4,94.2,32.3,65.65
B00155,1557,3.39,0.7,41.8,87.7,34.3,66.18
B00156,791,3.83,2.47,29,60.3,42.21,82.38
B00157,384,3.84,3.22,44.2,44,45.29,88.11
B00158,1683,3.44,3.45,44.8,98.4,33.59,63.87
B00159,135,3.6,3.07,42.4,33,48.12,94.57
B00160,269,3.48,1.53,33,42.6,47.39,94.75
B00161,304,3.57,4.13,45.2,40,47.84,89.8
B00162,517,4.11,3.29,20.6,46.3,45.43,92.05
B00163,951,4.1,1.5,33.9,67,39.6,81.63
B00164,1988,3.7,3.87,31.5,108.2,29.24,60.12
B00165,1005,4.08,4.13,24.4,65.6,40.11,78.63
B00166,485,4.08,1.53,26.1,53.2,45.97,90.47
B00167,769,3.96,0.5,30.6,60.6,42.34,83.22
B00168,1954,3.57,5,20.6,107.2,31.03,62.29
B00169,341,3.48,3.77,26.9,46.6,47.1,93.51
B00170,1142,3.41,1.07,23.3,78.2,38.94,79.26
B00171,1174,3.63,4.5,44.7,81.7,38.82,72.15
B00172,724,3.22,4.47,20,61,42.83,88.03
B00173,926,3.6,2,30.2,62.8,39.88,79.78
B00174,1501,3.76,3.97,22.9,89.8,35.97,71.43
B00175,1871,3.27,4.27,22.1,102.4,31.56,64.64
B00176,467,3.3,3.11,32.7,45.2,44.65,88.84
B00177,1973,3.86,1.64,21.8,107.9,29.4,60.93
B00178,698,4.19,1.19,44.7,60.8,43.32,81.71
B00179,838,3.8,2.38,39.2,68.3,42.08,80.42
B00180,17,4.07,3.3,43.8,29.5,49.89,95.6
B00181,1439,3.33,4.37,31.8,87.5,36.18,69.5
B00182,1437,3.39,3.43,29.1,87.3,35.8,72.25
B00183,1470,4.08,1.12,37.1,87.8,35.36,67.56
B00184,973,3.9,0.97,42.2,71.4,39.72,78.55
B00185,1378,4.18,1.02,27.4,86.3,36.3,73.96
B00186,1639,4.03,0.94,34.3,96.2,33.08,64.06
B00187,1271,3.48,0.68,42.8,82.7,37.63,71.56
B00188,664,3.64,4.23,27.3,55.4,43.28,85.86
B00189,574,4.11,3.98,42,56.8,45.03,85.25
B00190,1851,3.3,1.63,22.7,104.4,32.08,63.6
B00191,636,3.88,2.3,34,53.1,44.1,85.5
B00192,302,4.17,4.3,44.3,41.7,46.89,90.54
B00193,600,3.78,3.12,42.4,56.7,44.08,85.66
B00194,298,3.37,3.63,34.9,37.6,46.9,94.26
B00195,1641,3.79,1.53,28.9,92.6,33.01,65.19
B00196,953,3.94,4.85,37,69,40.75,80.57
B00197,337,3.73,4.94,20.9,38.5,45.86,94.77
B00198,652,4.04,3.95,27.1,52,43.11,86.02
B00199,973,3.53,4.43,34.7,67.9,40.64,78.86
B00200,1729,3.58,0.63,48.9,102.5,31.96,63.1
B00201,737,3.24,1.69,37.4,55.7,42.51,81.46
B00202,285,3.3,4.44,46.3,41.3,46.91,92.06
B00203,198,4.04,4.23,36.6,36.4,48.11,95.32
B00204,169,4.05,2,29.7,32.7,48.81,97.56
B00205,386,3.67,2.35,27.6,48.9,47.07,92.03
B00206,951,3.88,2.03,40.4,72,39.9,77.75
B00207,1578,3.41,0.65,20.3,91.3,34.03,67.27
B00208,837,3.85,1.91,27.6,63.4,41.58,81.52
B00209,404,4.03,3.47,41.4,50.7,45.15,89.42
B00210,1860,3.24,0.56,31.4,100.3,31.29,62.46
B00211,1559,3.51,4.82,40.3,95.9,35.33,66.43
B00212,1615,3.75,0.55,23.6,92.5,34.84,67.33
B00213,1382,3.53,3.56,25,86.1,36.57,71.15
B00214,1649,3.78,1.88,48.2,94.7,33.53,61.96
B00215,827,3.84,4.75,20.3,64.2,42.19,85.08
B00216,1566,3.83,3.96,24.4,88.2,33.9,67.54
B00217,1923,4.12,3.37,32,108.4,29.87,60.09
B00218,1105,4.1,0.54,46.1,73.5,38.16,76
B00219,1737,3.64,3.86,28,103.5,33.24,63.08
B00220,1276,4.17,2.87,40.4,83.9,36.48,72.59
B00221,552,3.54,2.4,43.5,50.9,43.67,86.7
B00222,1222,3.21,3.18,45.1,76.5,37.07,73.34
B00223,1177,3.69,1.51,23.5,76.8,38.07,77.93
B00224,1600,4.03,1.97,32.3,89.4,33.19,67.93
B00225,1500,3.94,2.45,30.6,86,34.66,70.11
B00226,702,3.83,4.09,43.1,55.7,43.33,84.27
B00227,635,3.86,0.69,22.6,54,42.87,87.12
B00228,1732,3.47,4.47,23.6,94.7,32.69,66.35
B00229,1093,3.79,3.07,27,71.3,38.76,78.43
B00230,286,3.45,3.71,46.1,38.6,47.15,89.65
B00231,1327,3.55,4.78,29.7,79.8,36.46,72.79
B00232,1592,3.29,1.35,46.1,92.1,33.37,65.82
B00233,1372,3.78,3.27,37.9,80.2,36.56,70.8
B00234,833,4.03,2.82,23.5,61.3,41.84,83.81
B00235,1060,3.44,0.79,43.1,69.4,40.05,76.19
B00236,354,3.41,3.11,38.3,42,46.14,91.89
B00237,1358,3.99,2.69,26,79.8,36.28,71.92
B00238,95,3.87,2.68,29.4,29.7,49.45,97.47
B00239,1501,3.23,4.43,21.5,92.8,34.33,70.15
B00240,899,3.3,3.28,29.3,68.7,40.31,83.36
B00241,180,3.78,0.57,45.8,38.6,48.34,91.56
B00242,1002,3.99,0.85,23.5,74.8,39.57,81.42
B00243,1313,4.18,1.96,36.4,85.9,36.14,70.65
B00244,1802,3.66,3.68,45.7,100.4,32.04,61.27
B00245,93,3.38,4.56,21.8,31.8,49.87,100
B00246,87,4.08,1.63,36.7,36.3,49.91,95.06
B00247,1005,3.99,2.27,49.9,69.3,40.76,75.11
B00248,1585,3.36,1.18,47.3,93.6,33.77,65.58
B00249,1858,3.78,3.62,22.5,101.9,30.77,63.7
B00250,1916,3.25,1.8,38.5,103.8,31.24,59.59
B00251,1890,3.41,1.32,22.9,104.9,30.42,62.83
B00252,647,4.08,3.22,36.1,60.3,42.99,84.22
B00253,774,3.97,1.51,31,63.8,42.88,83.04
B00254,812,3.21,4.13,21.6,65.2,42.23,83.36
B00255,720,3.89,2.53,44.2,54.8,42.31,82.93
B00256,1690,3.59,1.67,29.5,102.5,32.47,66.48
B00257,1029,3.35,3.91,26.6,70.1,39.13,78.76
B00258,28,3.45,2.45,30.6,33.6,50.65,97.56
B00259,1103,3.81,2.22,27,70.4,38.76,76.91
B00260,14,3.61,1.84,32.1,32.8,50.41,99.85
B00261,1732,4.15,1.37,33.9,101.2,32.88,64.92
B00262,1638,3.4,3.29,33,93.6,34.53,64.19
B00263,1135,3.37,1.99,28.5,71.5,37.88,76.53
B00264,1728,3.31,3.3,20.6,97.1,31.74,67.53
B00265,1398,3.39,1.18,48,87.2,35.89,68.77
B00266,1482,3.86,3.63,48.6,88,34.79,67.9
B00267,1460,4.12,4.02,42.5,93.3,35.37,69.88
B00268,1637,4.02,0.91,48.2,97.7,34.21,65.31
B00269,147,3.86,3.81,24,34.2,47.53,97.72
B00270,1543,3.98,1.77,47.6,93.6,35.16,65.44
B00271,161,3.58,3.32,36.2,32.6,48.52,95.72
B00272,405,3.88,3.46,20.6,49.1,46.29,94.11
B00273,1910,3.22,4.67,35.9,107.1,29.9,61.59
B00274,978,3.61,3.28,30.4,70.3,40.21,78.43
B00275,538,4.06,2.52,34.2,50.6,45.11,89.34
B00276,1380,3.32,4.21,25.8,86.5,36.81,73.04
B00277,491,3.99,3.06,25.2,54.3,46.06,91.65
B00278,691,3.23,1.89,36.8,55.6,43.84,84.3
B00279,1545,3.79,1.44,36.6,93.7,34.78,67.45
B00280,1494,4.18,1.14,31.6,93.8,34.56,67.65
B00281,1840,3.77,3.42,36.4,105.3,30.64,61.82
B00282,1556,3.27,0.78,47.9,92.9,35.13,64.7
B00283,1017,3.64,2.4,32.9,67.2,40.58,78.42
B00284,863,3.5,3.22,27.1,60.8,41.62,84.11
B00285,974,3.88,2.08,38.7,72.4,39.28,77.62
B00286,1188,3.78,2.94,32.8,74.2,37.41,74.31
B00287,1735,3.46,3.42,39.9,98.3,31.93,61.08
B00288,1156,3.57,3.77,29.7,76,37.64,75.47
B00289,1150,3.94,1.86,43.9,79.5,39.21,73.97
B00290,46,3.79,1.97,46.4,36.4,49.25,95.56
B00291,512,3.39,0.85,46.5,51.6,44.83,86.03
B00292,1329,3.23,1.58,49.8,87.8,35.76,70.17
B00293,1120,4.01,2.7,49,78.7,37.82,74.72
B00294,1349,3.21,3.47,30.9,85.7,36.22,73.69
B00295,1635,3.48,2.96,37.5,93.3,34.45,64.99
B00296,1910,3.67,3.16,42.9,110.4,30.98,60.28
B00297,1022,4.13,2.85,40.6,66,39.24,76.84
B00298,343,4.19,3.75,31.5,45.1,46.74,92.51
B00299,910,3.37,0.8,29.2,69.8,41.55,80.55
B00300,1822,3.28,2.16,29.7,98.4,32.02,64.7
B00301,1528,4.2,4.28,47.8,88.7,35.16,64.88
B00302,1629,4.08,3.14,37.8,90.3,34.1,65.11
B00303,814,3.76,3.53,47.7,65.1,41.33,82.21
B00304,403,4.1,5,31.8,48.8,45.84,92.86
B00305,268,4.19,1.95,24.9,40.1,47.28,92.69
B00306,1729,3.54,2.47,45.3,96,33.45,63.69
B00307,1885,4.07,2.46,40.4,105,31.06,60.81
B00308,192,3.95,4.77,48.1,41.5,48.39,90.97
B00309,1601,4.06,1.26,23.8,95.2,33.73,69.89
B00310,1058,3.27,4.31,45.9,71.2,39.28,74.58
B00311,770,3.79,2.18,24.5,59.7,42.45,86.38
B00312,909,3.4,0.5,37.6,66.7,41.46,80.64
B00313,639,4.14,3.28,43.9,52.2,43.54,83.03
B00314,563,3.4,4.67,46.2,54.4,43.59,84.58
B00315,1945,3.39,1.95,28.2,106.7,29.69,59.51
B00316,498,3.42,0.91,27.7,54.8,45.88,90.2
B00317,587,3.69,1.14,46.8,54.6,44,86.34
B00318,524,3.98,3.39,26.4,50.9,44.68,89.09
B00319,163,3.49,0.78,23.2,38,48.41,95.72
B00320,484,3.55,2.71,45.9,49,45.1,87.61
B00321,234,3.84,4.71,23.8,37.4,46.78,96.61
B00322,534,4.17,2.71,36.9,50.2,44.22,89.29
B00323,43,3.99,1.13,24.2,28.1,49.63,99.11
B00324,1439,4.01,4.2,21.1,92.6,34.83,70.95
B00325,82,3.41,1.97,30.7,38,48.74,96.79
B00326,1336,3.83,1.84,31.5,80.1,36.28,71.9
B00327,21,4.1,3.24,23.1,35.1,50.08,100
B00328,1972,3.78,1.91,43.4,110.8,30.99,57.54
B00329,356,3.75,1.41,23.6,44.3,47.4,93.57
B00330,1089,3.71,0.99,44,69.5,39.93,75.38
B00331,938,3.25,4.31,27.6,70.7,39.83,80.43
B00332,902,3.37,0.97,34.6,63.1,41.71,80.34
B00333,1763,4.03,4.74,47.8,98.6,33.36,59.86
B00334,774,3.78,3.8,36,61.1,42.36,84.57
B00335,1947,3.68,4.5,49.1,108.1,31.37,56.35
B00336,1330,3.68,1.59,48.5,87.3,37.44,70.58
B00337,1726,3.75,3.83,21.8,94.2,32.07,64.48
B00338,592,4.08,4.09,49.5,56.1,45.03,83.07
B00339,733,3.85,3.03,21.3,60.4,43.11,85.94
