Cycles,Voltage_V,Current_A,Temperature_C,Internal_Resistance_mOhm,Capacity_Ah,SOH
165,3.43,3.45,29.2,40.2,47.54,95.33
386,4.19,3.09,30,48.6,46.98,90.41
303,4.18,3.96,28.8,39.6,46.37,91.79
1572,4.02,1.46,22.8,92.2,33.49,69.18
1708,3.3,0.89,27.7,100.9,33.65,66.52
89,3.59,1.13,25.9,31.6,49.03,99
1957,3.4,1.27,26,105,30.31,62.06
1685,3.49,2.28,39,98.8,33.77,63.45
1770,3.86,0.99,47.1,97.9,33.15,59.99
366,3.75,4.56,29.1,41.7,46.39,90.2
1932,3.76,4.57,49.3,110.5,30.2,58.35
54,4.05,3.91,42.4,29.1,50.36,95.42
305,3.86,3.34,34.6,45.4,47.59,92.07
1235,4.15,2.94,46.4,83.1,38.31,71.43
447,3.26,0.75,23.8,45.7,46.17,92.62
1244,3.72,4.27,39.3,84.5,36.81,73.24
1267,4.18,0.66,31.1,79.8,37.28,72.8
772,3.59,1.02,40.7,59.5,42.55,81.08
1271,3.66,4.35,28.6,85.5,36.46,74.16
130,3.29,1.13,25,39.9,49.59,96.63
1345,3.91,3.75,35.3,82.5,37.53,72.59
496,4.19,0.88,27.3,52.1,44.89,88.46
170,3.82,1.66,23.3,40.1,48.19,94.87
982,3.77,3.43,35.4,68,40.62,80.68
156,3.93,2.4,23,38,48.22,97.43
1018,3.49,1.6,34.6,73.6,40.64,78.97
715,3.44,0.83,45.1,60.3,42.68,83.12
650,3.78,0.56,36.4,54.7,43.65,86.87
958,3.62,2.53,25,66.2,40.82,81.73
540,3.98,4.38,24,56.3,44.85,90.08
572,3.6,1.32,33.1,55.1,43.65,86.74
877,3.44,2.02,42.4,64.4,40.92,78.92
649,3.82,2.08,20.7,54.1,43.8,89.06
321,3.93,1.19,29,44.9,46.07,94.34
376,3.68,1.28,42.9,42.6,47.18,88.06
1455,3.6,2.89,32.5,90.3,35.47,68.92
796,3.66,0.64,25,65.6,42.84,82.66
809,3.99,4.22,22.3,60.3,42.51,84.62
1367,4.17,3.69,21.6,88.3,36.42,73.5
1727,4.08,2.34,28.1,98.4,32.26,63.31
760,3.4,4.49,20.9,57.7,42.1,84.57
1692,3.24,1.25,50,97.7,33.82,62.29
786,4.18,2.97,29,59.7,42.52,83.27
1283,3.83,2.55,23,78.8,37.61,74.22
1453,3.63,4.15,44.5,88.4,35,68.67
974,4.13,0.76,25.4,66.5,40.09,79.07
1647,3.59,2.68,25,92.4,34.46,67.08
