Gender,Age,GPA,Interested Domain,Future Career,Python,SQL,Java
Male,21,3.5,Artificial Intelligence,Machine Learning Researcher,Strong,Strong,Weak
Female,20,3.2,Data Science,Data Scientist,Average,Strong,Weak
Male,22,3.8,Software Development,Software Engineer,Strong,Strong,Average
Female,21,3.7,Web Development,Web Developer,Weak,Strong,Strong
Male,23,3.4,Cybersecurity,Information Security Analyst,Average,Weak,Strong
Female,22,3.9,Machine Learning,Machine Learning Engineer,Strong,Average,Weak
Male,20,3.6,Database Management,Database Administrator,Average,Strong,Weak
Female,21,3.7,Cloud Computing,Cloud Solutions Architect,Weak,Strong,Average
Male,23,3.3,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Female,22,3.5,Computer Graphics,Graphics Programmer,Weak,Average,Strong
Male,21,3.8,Artificial Intelligence,NLP Research Scientist,Strong,Average,Weak
Male,22,3.7,Web Development,Web Developer,Strong,Strong,Average
Female,21,3.3,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Male,23,3.5,Computer Graphics,Game Developer,Weak,Average,Strong
Female,22,3.8,Software Engineering,Software Engineer,Strong,Strong,Average
Male,20,3.6,Cybersecurity,Information Security Analyst,Average,Weak,Strong
Female,21,3.9,Machine Learning,Machine Learning Engineer,Strong,Average,Weak
Male,23,3.6,Database Management,Database Administrator,Average,Strong,Weak
Female,22,3.7,Cloud Computing,Cloud Solutions Architect,Weak,Strong,Average
Male,20,3.3,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Female,21,3.5,Computer Graphics,Graphics Programmer,Weak,Average,Strong
Male,23,3.8,Artificial Intelligence,NLP Research Scientist,Strong,Average,Weak
Male,22,3.7,Web Development,Web Developer,Strong,Strong,Average
Female,21,3.3,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Male,23,3.5,Computer Graphics,Game Developer,Weak,Average,Strong
Female,22,3.8,Software Engineering,Software Engineer,Strong,Strong,Average
Male,20,3.6,Cybersecurity,Information Security Analyst,Average,Weak,Strong
Female,21,3.9,Machine Learning,Machine Learning Engineer,Strong,Average,Weak
Male,23,3.6,Database Management,Database Administrator,Average,Strong,Weak
Female,22,3.7,Cloud Computing,Cloud Solutions Architect,Weak,Strong,Average
Male,20,3.3,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Female,21,3.5,Computer Graphics,Graphics Programmer,Weak,Average,Strong
Male,23,3.8,Artificial Intelligence,NLP Research Scientist,Strong,Average,Weak
Male,22,3.7,Web Development,Web Developer,Strong,Strong,Average
Female,21,3.3,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Male,23,3.5,Computer Graphics,Game Developer,Weak,Average,Strong
Female,22,3.8,Software Engineering,Software Engineer,Strong,Strong,Average
Male,20,3.6,Cybersecurity,Information Security Analyst,Average,Weak,Strong
Female,21,3.9,Machine Learning,Machine Learning Engineer,Strong,Average,Weak
Female,22,3.6,Cloud Computing,Cloud Solutions Architect,Strong,Strong,Average
Male,20,3.3,Software Development,Software Engineer,Average,Weak,Strong
Female,21,3.7,Web Development,Web Developer,Weak,Strong,Strong
Male,23,3.5,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Female,22,3.8,Computer Graphics,Graphics Programmer,Weak,Average,Strong
Male,21,3.6,Artificial Intelligence,NLP Research Scientist,Strong,Average,Weak
Female,20,3.3,Data Science,Data Scientist,Average,Strong,Weak
Male,22,3.7,Cybersecurity,Information Security Analyst,Weak,Strong,Average
Female,21,3.5,Database Management,Database Administrator,Average,Weak,Strong
Male,23,3.8,Cloud Computing,Cloud Solutions Architect,Strong,Strong,Average
Male,22,3.6,Software Development,Software Engineer,Average,Weak,Strong
Female,21,3.7,Web Development,Web Developer,Weak,Strong,Strong
Male,20,3.3,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Female,22,3.8,Computer Graphics,Graphics Programmer,Weak,Average,Strong
Female,21,3.6,Artificial Intelligence,NLP Research Scientist,Strong,Average,Weak
Male,20,3.3,Data Science,Data Scientist,Average,Strong,Weak
Male,22,3.7,Cybersecurity,Information Security Analyst,Weak,Strong,Average
Male,21,3.5,Database Management,Database Administrator,Average,Weak,Strong
Male,23,3.8,Cloud Computing,Cloud Solutions Architect,Strong,Strong,Average
Male,22,3.6,Software Development,Software Engineer,Average,Weak,Strong
Male,20,3.3,Web Development,Web Developer,Weak,Strong,Strong
Male,21,3.7,Mobile App Development,Mobile App Developer,Average,Weak,Strong
Male,22,3.5,Computer Graphics,Graphics Programmer,Weak,Average,Strong
Male,23,3.8,Artificial Intelligence,NLP Research Scientist,Strong,Average,Weak
